Date,Description,Category,Amount,Type,Payment_Method
2025-01-01,Company Payroll,Salary,64488.24,Income,Bank Transfer
2025-01-01,Upwork Payout,Freelance,9534.29,Income,Bank Transfer
2025-01-02,Clinic,Health,1274.61,Expense,UPI
2025-01-03,Misc,Others,565.43,Expense,UPI
2025-01-05,House Rent,Rent,12000.0,Expense,UPI
2025-01-05,Zomato,Food,411.09,Expense,Card
2025-01-06,Ola,Transport,243.11,Expense,UPI
2025-01-06,Pharmacy,Health,734.69,Expense,Cash
2025-01-07,BigBasket,Groceries,1088.36,Expense,Cash
2025-01-07,Clinic,Health,575.92,Expense,Card
2025-01-09,Bus,Transport,307.24,Expense,Card
2025-01-09,Netflix,Entertainment,30.0,Expense,UPI
2025-01-10,YouTube Premium,Subscriptions,300.0,Expense,Card
2025-01-10,Amazon,Shopping,2319.6,Expense,Cash
2025-01-10,Freelance Gig,Freelance,3055.64,Income,Bank Transfer
2025-01-11,Clinic,Health,696.32,Expense,Cash
2025-01-12,Electricity Bill,Electricity,1592.82,Expense,UPI
2025-01-12,Airtel Fiber,Internet,840.26,Expense,Card
2025-01-13,Misc,Others,30.0,Expense,Card
2025-01-13,Cafe,Food,456.38,Expense,Card
2025-01-14,Reliance Fresh,Groceries,1224.07,Expense,Card
2025-01-16,Ola,Transport,171.57,Expense,Card
2025-01-16,Gift,Others,30.0,Expense,Cash
2025-01-18,Netflix,Entertainment,357.08,Expense,UPI
2025-01-19,Metro,Transport,406.25,Expense,Cash
2025-01-21,Spotify,Entertainment,613.4,Expense,Cash
2025-01-21,Cafe,Food,30.0,Expense,Card
2025-01-22,Amazon,Shopping,2453.41,Expense,UPI
2025-01-22,Swiggy,Food,564.58,Expense,Card
2025-01-23,D-Mart,Groceries,1158.53,Expense,UPI
2025-01-23,Ola,Transport,206.73,Expense,Cash
2025-01-26,Flipkart,Shopping,1499.7,Expense,Card
2025-01-27,Zomato,Food,122.16,Expense,Cash
2025-01-27,Ola,Transport,239.63,Expense,Cash
2025-02-01,Netflix,Entertainment,753.98,Expense,UPI
2025-02-01,Company Payroll,Salary,66572.26,Income,Bank Transfer
2025-02-01,Misc,Others,195.58,Expense,Card
2025-02-03,Netflix,Entertainment,1500.36,Expense,UPI
2025-02-04,Spotify,Entertainment,237.28,Expense,Card
2025-02-05,House Rent,Rent,12000.0,Expense,Card
2025-02-05,BigBasket,Groceries,974.51,Expense,UPI
2025-02-06,Gift,Others,1276.13,Expense,Cash
2025-02-06,Swiggy,Food,355.25,Expense,Card
2025-02-08,Bus,Transport,560.06,Expense,Card
2025-02-08,Myntra,Shopping,3304.01,Expense,UPI
2025-02-09,Zomato,Food,602.44,Expense,Cash
2025-02-10,iCloud,Subscriptions,300.0,Expense,Cash
2025-02-11,Swiggy,Food,702.79,Expense,Cash
2025-02-12,Stationery,Others,46.0,Expense,UPI
2025-02-12,Jio Fiber,Internet,988.18,Expense,UPI
2025-02-12,Electricity Bill,Electricity,2626.52,Expense,Card
